Date,NASDAQ,AMZN,GOOG,MSFT
2015-04-30,4941.419922,421.779999,537.340027,48.639999
2015-05-29,5070.029785,429.230011,532.109985,46.860001
2015-06-30,4986.870117,434.089996,520.510010,44.150002
2015-07-31,5128.279785,536.150024,625.609985,46.700001
2015-08-31,4776.509766,512.890015,618.250000,43.520000
2015-09-30,4620.160156,511.890015,608.419983,44.259998
2015-10-30,5053.750000,625.900024,710.809998,52.639999
2015-11-30,5108.669922,664.799988,742.599976,54.349998
2015-12-31,5007.410156,675.890015,758.880005,55.480000
2016-01-29,4613.950195,587.000000,742.950012,55.090000
2016-02-29,4557.950195,552.520020,697.770020,50.880001
2016-03-31,4869.850098,593.640015,744.950012,55.230000
2016-04-29,4775.359863,659.590027,693.010010,49.869999
2016-05-31,4948.049805,722.789978,735.719971,53.000000
2016-06-30,4842.669922,715.619995,692.099976,51.169998
2016-07-29,5162.129883,758.809998,768.789978,56.680000
2016-08-31,5213.220215,769.159973,767.049988,57.459999
2016-09-30,5312.000000,837.309998,777.289978,57.599998
2016-10-31,5189.140137,789.820007,784.539978,59.919998
2016-11-30,5323.680176,750.570007,758.039978,60.259998
2016-12-30,5383.120117,749.869995,771.820007,62.139999
2017-01-31,5614.790039,823.479980,796.789978,64.650002
2017-02-28,5825.439941,845.039978,823.210022,63.980000
2017-03-31,5911.740234,886.539978,829.559998,65.860001
2017-04-28,6047.609863,924.989990,905.960022,68.459999
2017-05-31,6198.520020,994.619995,964.859985,69.839996
2017-06-30,6140.419922,968.000000,908.729980,68.930000
2017-07-31,6348.120117,987.780029,930.500000,72.699997
2017-08-31,6428.660156,980.599976,939.330017,74.769997
2017-09-29,6495.959961,961.349976,959.109985,74.489998
2017-10-31,6727.669922,1105.280029,1016.640015,83.180000
2017-11-30,6873.970215,1176.750000,1021.409973,84.169998
2017-12-29,6903.390137,1169.469971,1046.400024,85.540001
