Date,NASDAQ,AMZN,GOOG,MSFT
2008-10-21,1696.680054,50.230000,180.202957,23.360001
2008-10-22,1615.750000,49.990002,176.685822,21.530001
2008-10-23,1603.910034,50.320000,175.021652,22.320000
2008-10-24,1552.030029,48.959999,168.548752,21.959999
2008-10-27,1505.900024,49.580002,163.680420,21.180000
2008-10-28,1649.469971,56.040001,183.183563,23.100000
2008-10-29,1657.209961,56.889999,177.843307,23.000000
2008-10-30,1698.520020,56.709999,178.682846,22.629999
2008-10-31,1720.949951,57.240002,178.518906,22.330000
2008-11-03,1726.329956,55.770000,172.125488,22.620001
2008-11-04,1780.119995,58.450001,182.284409,23.530001
2008-11-05,1681.640015,51.980000,170.014221,22.080000
2008-11-06,1608.699951,47.220001,164.539825,20.879999
2008-11-07,1647.400024,49.209999,164.500092,21.500000
2008-11-10,1616.739990,48.459999,158.360016,21.299999
2008-11-11,1580.900024,46.299999,154.723679,21.200001
2008-11-12,1499.209961,41.560001,144.559784,20.299999
2008-11-13,1596.699951,44.930000,155.031662,21.250000
2008-11-14,1516.849976,41.750000,154.008331,20.059999
2008-11-17,1482.050049,39.689999,149.090317,19.320000
2008-11-18,1483.270020,38.439999,147.749039,19.620001
2008-11-19,1386.420044,35.840000,139.184738,18.290001
2008-11-20,1316.119995,35.029999,128.941360,17.530001
2008-11-21,1384.349976,37.869999,130.367081,19.680000
2008-11-24,1472.020020,42.500000,127.888214,20.690001
2008-11-25,1464.729980,42.189999,140.113693,19.990000
2008-11-26,1532.099976,43.959999,145.101257,20.490000
2008-11-28,1535.569946,42.700001,145.533447,20.219999
2008-12-01,1398.069946,40.470001,132.135590,18.610001
